hcode,name,entity_type,affiliation,phone,website,address_no,moo,soi,road,subdistrict,district,province,postal_code,uc_phone,uc_email,doc_email,coordinators,network_types
F0453,"มูลนิธิ ฅ ฅน เพื่อการเปลี่ยนแปลง","Foundation/CBO (R0216)",เอกชน,053711519,,572/12,04,22,,ริมกก,เมืองเชียงราย,เชียงราย,57100,,,,,R0216
F0410,"มูลนิธิเอ็มพลัส จังหวัดเชียงราย","Foundation/CBO (R0216)",เอกชน,"052 026 357",,997/5,,,สถานพยาบาล,เวียง,เมืองเชียงราย,เชียงราย,57000,,,,,R0216
G1438,"กลุ่ม V - Power อาสาสมัครพัมนาชุมชนและการคุ้มครองสิทธิ","Foundation/CBO (R0216)",เอกชน,0981536146,,-,,,,ยุหว่า,สันป่าตอง,เชียงใหม่,50120,,,,,R0216
41936,"คลินิกเทคนิคการแพทย์แคร์แมท เชียงใหม่","Med-Tech Clinic (R020602)",เอกชน,052005458,,257/102-103,,,สุเทพ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,50000,,,,,R020602
G8913,ชมรมดอกไม้ป่า,"Foundation/CBO (R0216)",เอกชน,0861900922,,259,02,,"เชียงใหม่ - ฮอด",ดอยแก้ว,จอมทอง,เชียงใหม่,50160,,,,,R0216
G1472,ชมรมสู่ขวัญดอยหลวง,"Foundation/CBO (R0216)",เอกชน,0956970278,,286,01,,,เชียงดาว,เชียงดาว,เชียงใหม่,50170,,,,"น.ส.สกาวเดือน สมเกตุ <noy.sako@gmail.com> 09560278",R0216
G1498,"ชมรมเพื่อสุขภาพ ร.พ.ฝาง","Foundation/CBO (R0216)",เอกชน,0954489816,,2,17,,,สันทราย,ฝาง,เชียงใหม่,50110,,,,"วิภา คำยวง <> 0954489816",R0216
G1473,ชมรมใจเขาใจเรา,"Foundation/CBO (R0216)",เอกชน,"0813879156,0903185599",,-,,,ถนนเชียงใหม่-ฮอด,ยุหว่า,สันป่าตอง,เชียงใหม่,50120,,,,"นางประภัสสร ไชยโสภา <Chaisopa19@gmail.com> 0813879156",R0216
G1499,ชมรมไชยปราการยิ้มสู้,"Foundation/CBO (R0216)",เอกชน,"0930438371 / 0886563602",,131,03,,,ศรีดงเย็น,ไชยปราการ,เชียงใหม่,50320,,,,"น.ส.ชุติกานต์ คำเจริญ <chutikan.morn@gmail.com> 0886563602 | นายยงยุทธ กุณะแสงคำ <kunasaengkham@gmail.com> 0930438371",R0216
F0380,"มูลนิธิเอ็มพลัส จังหวัดเชียงใหม่","Foundation/CBO (R0216)",เอกชน,053283108,,142,01,ชมจันทร์,เชียงใหม่-ฮอด,ป่าแดด,เมืองเชียงใหม่,เชียงใหม่,50100,,,,,R0216
G1371,"มูลนิธิแคร์แมท เชียงใหม่","Foundation/CBO (R0216)",เอกชน,052-005458,,257/102-103,,"หมู่บ้านดาวดึงส์ ซอย 2",สุเทพ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,50200,,,,,R0216
G8934,ศูนย์ลดอันตรายจากยาเสพติดจังหวัดเชียงใหม่,"Foundation/CBO (R0216)",เอกชน,0987879376,,133/2,02,,,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50300,,,,,R0216
G8925,"เครือข่ายผู้ติดเชื้อ HIV/AIDS อำเภอดอยหล่อ","Foundation/CBO (R0216)",เอกชน,0850385412,,109,07,,,ยางคราม,ดอยหล่อ,เชียงใหม่,50160,,,,"นางรจนา ยี่บัว <Rodjana.yibua@gmail.com> 0850385412",R0216
G1503,เครือข่ายฮักฝาง,"Foundation/CBO (R0216)",เอกชน,0625056267,,283/10,03,,,เวียง,ฝาง,เชียงใหม่,50110,,,,"นางศิริพร สินสวัสดิ์ <hugfang9@gmail.com> 0838142854 | นายพีชเรข เนตรศิริ <hugfang9@gmail.com> 0625056267",R0216
41681,เอ็มพลัสสหคลินิก,"Med-Tech Clinic (R020602)",เอกชน,053283108,,142,01,ชมจันทร์,"เชียงใหม่ - ฮอด",ป่าแดด,เมืองเชียงใหม่,เชียงใหม่,50100,,,,,"R020602, R0207"
